Epoch: 1, Loss: 0.079020, Learning Rate: [0.001]
Epoch: 2, Loss: 0.061120, Learning Rate: [0.001]
Epoch: 3, Loss: 0.059555, Learning Rate: [0.001]
Epoch: 4, Loss: 0.056525, Learning Rate: [0.001]
Epoch: 5, Loss: 0.053856, Learning Rate: [0.001]
Epoch: 6, Loss: 0.051462, Learning Rate: [0.001]
Epoch: 7, Loss: 0.046681, Learning Rate: [0.001]
Epoch: 8, Loss: 0.044031, Learning Rate: [0.001]
Epoch: 9, Loss: 0.040613, Learning Rate: [0.001]
Epoch: 10, Loss: 0.036647, Learning Rate: [0.001]
Epoch: 11, Loss: 0.035386, Learning Rate: [0.001]
Epoch: 12, Loss: 0.034802, Learning Rate: [0.001]
Epoch: 13, Loss: 0.034395, Learning Rate: [0.001]
Epoch: 14, Loss: 0.033018, Learning Rate: [0.001]
Epoch: 15, Loss: 0.031718, Learning Rate: [0.001]
Epoch: 16, Loss: 0.030533, Learning Rate: [0.001]
Epoch: 17, Loss: 0.030332, Learning Rate: [0.001]
Epoch: 18, Loss: 0.029584, Learning Rate: [0.001]
Epoch: 19, Loss: 0.029741, Learning Rate: [0.001]
Epoch: 20, Loss: 0.028951, Learning Rate: [0.001]
Epoch: 21, Loss: 0.028208, Learning Rate: [0.001]
Epoch: 22, Loss: 0.027855, Learning Rate: [0.001]
Epoch: 23, Loss: 0.027619, Learning Rate: [0.001]
Epoch: 24, Loss: 0.028041, Learning Rate: [0.001]
Epoch: 25, Loss: 0.027133, Learning Rate: [0.001]
Epoch: 26, Loss: 0.026505, Learning Rate: [0.001]
Epoch: 27, Loss: 0.026562, Learning Rate: [0.001]
Epoch: 28, Loss: 0.026406, Learning Rate: [0.001]
Epoch: 29, Loss: 0.025826, Learning Rate: [0.001]
Epoch: 30, Loss: 0.026558, Learning Rate: [0.001]
Epoch: 31, Loss: 0.025331, Learning Rate: [0.001]
Epoch: 32, Loss: 0.025075, Learning Rate: [0.001]
Epoch: 33, Loss: 0.024545, Learning Rate: [0.001]
Epoch: 34, Loss: 0.024366, Learning Rate: [0.001]
Epoch: 35, Loss: 0.024215, Learning Rate: [0.001]
Epoch: 36, Loss: 0.024252, Learning Rate: [0.001]
Epoch: 37, Loss: 0.023506, Learning Rate: [0.001]
Epoch: 38, Loss: 0.023388, Learning Rate: [0.001]
Epoch: 39, Loss: 0.023157, Learning Rate: [0.001]
Epoch: 40, Loss: 0.022825, Learning Rate: [0.001]
Epoch: 41, Loss: 0.022735, Learning Rate: [0.001]
Epoch: 42, Loss: 0.022191, Learning Rate: [0.001]
Epoch: 43, Loss: 0.022230, Learning Rate: [0.001]
Epoch: 44, Loss: 0.022179, Learning Rate: [0.001]
Epoch: 45, Loss: 0.021958, Learning Rate: [0.001]
Epoch: 46, Loss: 0.021678, Learning Rate: [0.001]
Epoch: 47, Loss: 0.022290, Learning Rate: [0.001]
Epoch: 48, Loss: 0.021767, Learning Rate: [0.001]
Epoch: 49, Loss: 0.021165, Learning Rate: [0.001]
Epoch: 50, Loss: 0.021248, Learning Rate: [0.001]
