Epoch: 1, Loss: 0.091673, Learning Rate: [0.001]
Epoch: 2, Loss: 0.074225, Learning Rate: [0.001]
Epoch: 3, Loss: 0.072666, Learning Rate: [0.001]
Epoch: 4, Loss: 0.072583, Learning Rate: [0.001]
Epoch: 5, Loss: 0.072373, Learning Rate: [0.001]
Epoch: 6, Loss: 0.072225, Learning Rate: [0.001]
Epoch: 7, Loss: 0.072117, Learning Rate: [0.001]
Epoch: 8, Loss: 0.071518, Learning Rate: [0.001]
Epoch: 9, Loss: 0.069774, Learning Rate: [0.001]
Epoch: 10, Loss: 0.062964, Learning Rate: [0.001]
Epoch: 11, Loss: 0.057895, Learning Rate: [0.001]
Epoch: 12, Loss: 0.052266, Learning Rate: [0.001]
Epoch: 13, Loss: 0.047782, Learning Rate: [0.001]
Epoch: 14, Loss: 0.044329, Learning Rate: [0.001]
Epoch: 15, Loss: 0.042874, Learning Rate: [0.001]
Epoch: 16, Loss: 0.040412, Learning Rate: [0.001]
Epoch: 17, Loss: 0.041441, Learning Rate: [0.001]
Epoch: 18, Loss: 0.038328, Learning Rate: [0.001]
Epoch: 19, Loss: 0.036843, Learning Rate: [0.001]
Epoch: 20, Loss: 0.036526, Learning Rate: [0.001]
Epoch: 21, Loss: 0.035651, Learning Rate: [0.001]
Epoch: 22, Loss: 0.034736, Learning Rate: [0.001]
Epoch: 23, Loss: 0.034228, Learning Rate: [0.001]
Epoch: 24, Loss: 0.033993, Learning Rate: [0.001]
Epoch: 25, Loss: 0.032780, Learning Rate: [0.001]
Epoch: 26, Loss: 0.032872, Learning Rate: [0.001]
Epoch: 27, Loss: 0.032147, Learning Rate: [0.001]
Epoch: 28, Loss: 0.032430, Learning Rate: [0.001]
Epoch: 29, Loss: 0.031402, Learning Rate: [0.001]
Epoch: 30, Loss: 0.031318, Learning Rate: [0.001]
Epoch: 31, Loss: 0.030971, Learning Rate: [0.001]
Epoch: 32, Loss: 0.030538, Learning Rate: [0.001]
Epoch: 33, Loss: 0.030287, Learning Rate: [0.001]
Epoch: 34, Loss: 0.029979, Learning Rate: [0.001]
Epoch: 35, Loss: 0.029810, Learning Rate: [0.001]
Epoch: 36, Loss: 0.029750, Learning Rate: [0.001]
Epoch: 37, Loss: 0.029359, Learning Rate: [0.001]
Epoch: 38, Loss: 0.028917, Learning Rate: [0.001]
Epoch: 39, Loss: 0.029159, Learning Rate: [0.001]
Epoch: 40, Loss: 0.029125, Learning Rate: [0.001]
Epoch: 41, Loss: 0.028520, Learning Rate: [0.001]
Epoch: 42, Loss: 0.028724, Learning Rate: [0.001]
Epoch: 43, Loss: 0.028027, Learning Rate: [0.001]
Epoch: 44, Loss: 0.028171, Learning Rate: [0.001]
Epoch: 45, Loss: 0.028285, Learning Rate: [0.001]
Epoch: 46, Loss: 0.027931, Learning Rate: [0.001]
Epoch: 47, Loss: 0.027724, Learning Rate: [0.001]
Epoch: 48, Loss: 0.027586, Learning Rate: [0.001]
Epoch: 49, Loss: 0.027615, Learning Rate: [0.001]
Epoch: 50, Loss: 0.027307, Learning Rate: [0.001]
